column_name;colum_name_renamed
UNI_ORIGEM_DESC_POLITICA;UNI_ORIGEM_DESC_POLITICA
UNI_ORIGEM_TIPO_CAMARA_COMP;UNI_ORIGEM_TIPO_CAMARA_COMP
DNV;DNV
DATA_CANCELAMENTO_FAMILIA;DATA_CANCELAMENTO_FAMILIA
DATA_INICIO_REPASSE;DATA_INICIO_REPASSE
DATA_FINAL_REPASSE;DATA_FINAL_REPASSE
DATA_INICIO_INAT_FAMILIA;DATA_INICIO_INAT_FAMILIA
DIA_COBRANCA;DIA_COBRANCA
CARTAO_NACIONAL_SAUDE;CARTAO_NACIONAL_SAUDE
CCO;CCO
CCO_DV;CCO_DV
CODIGO_IBGE;CODIGO_IBGE
DATA_VENDA_FAMILIA;DATA_VENDA_FAMILIA
ANOTACAO_ADM_FAMILIA;ANOTACAO_ADM_FAMILIA
DATA_PRIM_ADESAO_BENEF;DATA_PRIM_ADESAO_BENEF
POSSUI_BIOMETRIA;POSSUI_BIOMETRIA
DATA_INICIAL_TETO_COBRANCA;DATA_INICIAL_TETO_COBRANCA
DATA_FINAL_TETO_COBRANCA;DATA_FINAL_TETO_COBRANCA
VALOR_TETO_COBRANCA;VALOR_TETO_COBRANCA
TIPO_CARTAO;TIPO_CARTAO
BLOQUEAR_RECAD_BIO_AUT_WEB;BLOQUEAR_RECAD_BIO_AUT_WEB
TELEFONE1_CORRESP;TELEFONE1_CORRESP
TELEFONE2_CORRESP;TELEFONE2_CORRESP
CELULAR_CORRESP;CELULAR_CORRESP
ENDERECO_CORRESP;ENDERECO_CORRESP
NUMERO_CORRESP;NUMERO_CORRESP
COMPLEMENTO_CORRESP;COMPLEMENTO_CORRESP
BAIRRO_CORRESP;BAIRRO_CORRESP
CEP_CORRESP;CEP_CORRESP
CIDADE_CORRESP;CIDADE_CORRESP
UF_CORRESP;UF_CORRESP
TELEFONE2;TELEFONE2
SETOR_UNIMED;SETOR_UNIMED
COBRANCA_MES_SEGUINTE;COBRANCA_MES_SEGUINTE
DW_INC;DW_INC
DW_ALT;DW_ALT
SOFREU_ADAPTACAO;SOFREU_ADAPTACAO
DATA_ADAPTACAO;DATA_ADAPTACAO
IDADE_ADAPTACAO;IDADE_ADAPTACAO
NAO_TEM_CARENCIA;NAO_TEM_CARENCIA
DIAS_COMPRA_CARENCIA;DIAS_COMPRA_CARENCIA
ORIGEM_CARENCIA;ORIGEM_CARENCIA
IDADE_MAXIMA;IDADE_MAXIMA
DATA_INCLUSAO_FAMILIA;DATA_INCLUSAO_FAMILIA
USUARIO_INCLUSAO_FAMILIA;USUARIO_INCLUSAO_FAMILIA
UNIMED_EM_CASA;UNIMED_EM_CASA
BEM_ESTAR_E_SAUDE;BEM_ESTAR_E_SAUDE
SITUACAO_ATUALIZACAO_DADOS;SITUACAO_ATUALIZACAO_DADOS
DV_CARTAO_BENEF;DV_CARTAO_BENEF
K_EMAIL_ZENITE;K_EMAIL_ZENITE
K_TELEFONE1_ZENITE;K_TELEFONE1_ZENITE
K_TELEFONE2_ZENITE;K_TELEFONE2_ZENITE
K_EMAIL_IRIS;K_EMAIL_IRIS
K_EMAIL_IW;K_EMAIL_IW
K_TELEFONE1_IW;K_TELEFONE1_IW
K_TELEFONE2_IW;K_TELEFONE2_IW
K_TELEFONE3_IW;K_TELEFONE3_IW
K_TELEFONE4_IW;K_TELEFONE4_IW
K_EMAIL_SAC;K_EMAIL_SAC
K_TELEFONE_RES_SAC;K_TELEFONE_RES_SAC
K_TELEFONE_CONTATO_SAC;K_TELEFONE_CONTATO_SAC
K_TELEFONE_CELULAR_SAC;K_TELEFONE_CELULAR_SAC
DATA_ULTIMA_ATU_CADASTRAL;DATA_ULTIMA_ATU_CADASTRAL
DATA_ULTIMO_REAJUSTE_FAMILIA;DATA_ULTIMO_REAJUSTE_FAMILIA
ORIGEM;ORIGEM
DATA_FALECIMENTO;DATA_FALECIMENTO
DATA_ATENDIMENTO_ATE;DATA_ATENDIMENTO_ATE
DATA_INICIAL_VALIDADE;DATA_INICIAL_VALIDADE
DATA_FINAL_VALIDADE;DATA_FINAL_VALIDADE
SITUACAO_CARTAO;SITUACAO_CARTAO
VALOR_FATURADO;VALOR_FATURADO
NUMERO_FATURA;NUMERO_FATURA
VIA_CARTAO;VIA_CARTAO
DESCRICAO_ROTINA_CARTAO;DESCRICAO_ROTINA_CARTAO
