column_name,alias,rule
MOTIVO_INCLUSAO,MOTIVO_INCLUSAO,"CASE WHEN BEN.MOTIVOINCLUSAO = 5 THEN 'Novo beneficiário' WHEN BEN.MOTIVOINCLUSAO = 6 THEN 'Transferência voluntária de carteira' WHEN BEN.MOTIVOINCLUSAO = 7 THEN 'Transferência compulsória de carteira' ELSE NULL END"
ORIGEM_CARENCIA,ORIGEM_CARENCIA,"(SELECT OCA.DESCRICAO FROM SAM_CONTRATO_ORIGEMCARENCIA COC JOIN SAM_ORIGEMCARENCIA OCA ON (OCA.HANDLE = COC.ORIGEMCARENCIA) WHERE COC.HANDLE = BEN.ORIGEMCARENCIA)"
TIPO_BENEFICIARIO,TIPO_BENEFICIARIO,"CASE WHEN NVL(UNIO.CODIGO,'0032') = '0032' AND NVL(UNIDES.UNIMED_DESTINO,'0032') = '0032' THEN 'Próprio' WHEN NVL(UNIDES.UNIMED_DESTINO,'0032') <> '0032' THEN 'Repassado' WHEN NVL(UNIO.CODIGO,'0032') <> '0032' THEN CASE WHEN BEN.TABORIGEM = 2 THEN 'Assumido' WHEN BEN.TABORIGEM = 3 THEN 'Assumido-Eventual' ELSE 'Assumido' END END"
UNI_ORIGEM_CAMARA_COMPENSACAO,UNI_ORIGEM_CAMARA_COMPENSACAO,"CASE WHEN UNIO.HANDLE IS NULL THEN 'Estadual' WHEN CAMCOM.DESCRICAO IS NULL THEN 'Sem Informação' ELSE CAMCOM.DESCRICAO END"
UNI_ORIGEM_TIPO_CAMARA_COMP,UNI_ORIGEM_TIPO_CAMARA_COMP,"CASE WHEN UNIO.HANDLE IS NULL THEN '2-Federativa' WHEN CAMCOM.TIPOCAMARA IS NULL THEN 'Sem Informação' ELSE DECODE(CAMCOM.TIPOCAMARA ,1,'1-Intra-Federativa',2,'2-Federativa',3,'3-Inter-Federativa',4,'4-Nacional') END"
TIPO_FATURAMENTO_REP,TIPO_FATURAMENTO_REP,"CASE WHEN UNIDES.UNIMED_DESTINO IS NOT NULL THEN ( SELECT TIP.DESCRICAO FROM SIS_TIPOFATURAMENTO TIP, SAM_UNIMED UNI, SAM_REPASSEINTER REP WHERE TIP.HANDLE = REP.TIPOFATURAMENTO AND UNI.CODIGO = UNIDES.UNIMED_DESTINO AND UNI.HANDLE = REP.UNIMEDDESTINO AND REP.DATAINICIAL <= TRUNC(SYSDATE) AND ( REP.DATAFINAL IS NULL OR REP.DATAFINAL >= TRUNC(SYSDATE) ) AND REP.CONTRATO = CON.HANDLE AND ROWNUM = 1 ) ELSE NULL END"
ANOTACAO_ADM_FAMILIA,ANOTACAO_ADM_FAMILIA,"(SELECT LISTAGG(SUBSTR('('||TO_CHAR(F.DATA,'DD/MM/YYYY')||') '||A.DESCRICAO||': '||SUBSTR(F.OBSERVACAO,0,255),0,4000), ', ') WITHIN GROUP (ORDER BY 1) FROM SAM_FAMILIA_ANOTADM F LEFT JOIN SAM_ANOTACAOADMINISTRATIVA A ON F.ANOTACAO = A.HANDLE WHERE F.FAMILIA = BEN.FAMILIA)"
POSSUI_BIOMETRIA,POSSUI_BIOMETRIA,"CASE WHEN EXISTS (SELECT 1 FROM AWE_BIOMETRIA BIO WHERE BIO.TIPO = 'B' AND BIO.OPERADORA||SUBSTR(BIO.CODIGO,1,LENGTH(BIO.CODIGO)-1) = BEN.BENEFICIARIO) THEN 'Sim' ELSE 'Não' END"
CODIGO_IBGE,CODIGO_IBGE,"MUNR.CODIGOIBGE"
CIDADE,CIDADE,"MUNR.NOME"
BAIRRO,BAIRRO,"ENDR.BAIRRO"
CEP,CEP,"ENDR.CEP"
COMPLEMENTO,COMPLEMENTO,"ENDR.COMPLEMENTO"
DDD,DDD,"ENDR.DDD1"
ENDERECO,ENDERECO,"ENDR.LOGRADOURO"
NUMERO,NUMERO,"ENDR.NUMERO"
TELEFONE2,TELEFONE2,"'('||ENDR.DDD2||') '||ENDR.PREFIXO2||'-'||ENDR.NUMERO2"
CELULAR,CELULAR,"'('||ENDR.DDDCELULAR||') '||ENDR.PREFIXOCELULAR||'-'||ENDR.NUMEROCELULAR"
CIDADE_CORRESP,CIDADE_CORRESP,"MUNC.NOME"
CEP_CORRESP,CEP_CORRESP,"ENDC.CEP"
BAIRRO_CORRESP,BAIRRO_CORRESP,"ENDC.BAIRRO"
COMPLEMENTO_CORRESP,COMPLEMENTO_CORRESP,"ENDC.COMPLEMENTO"
ENDERECO_CORRESP,ENDERECO_CORRESP,"ENDC.LOGRADOURO"
NUMERO_CORRESP,NUMERO_CORRESP,"ENDC.NUMERO"
UF_CORRESP,UF_CORRESP,"ESTC.SIGLA"
TELEFONE1_CORRESP,TELEFONE1_CORRESP,"'('||ENDC.DDD1||') '||ENDC.PREFIXO1||'-'||ENDC.NUMERO1"
TELEFONE2_CORRESP,TELEFONE2_CORRESP,"'('||ENDC.DDD2||') '||ENDC.PREFIXO2||'-'||ENDC.NUMERO2"
CELULAR_CORRESP,CELULAR_CORRESP,"'('||ENDC.DDDCELULAR||') '||ENDC.PREFIXOCELULAR||'-'||ENDC.NUMEROCELULAR"
TIPO_CARTAO,TIPO_CARTAO,"CARTIDENTIF.TIPO_CARTAO"
DV_CARTAO_BENEF,DV_CARTAO_BENEF,"CARTIDENTIF.DV"
VIA_CARTAO,VIA_CARTAO,"CARTIDENTIF.VIA_CARTAO"
DATA_VALID_CARTEIRA,DATA_VALID_CARTEIRA,"CARTIDENTIF.DATA_VALID_CARTEIRA"
DATA_GERAC_CARTEIRA,DATA_GERAC_CARTEIRA,"CARTIDENTIF.DATA_GERAC_CARTEIRA"
DATA_EMISS_CARTEIRA,DATA_EMISS_CARTEIRA,"CARTIDENTIF.DATA_EMISS_CARTEIRA"
DATA_INICIAL_VALIDADE,DATA_INICIAL_VALIDADE,"CARTIDENTIF.DATA_INICIAL_VALIDADE"
DATA_FINAL_VALIDADE,DATA_FINAL_VALIDADE,"CARTIDENTIF.DATA_FINAL_VALIDADE"
SITUACAO_CARTAO,SITUACAO_CARTAO,"CARTIDENTIF.SITUACAO_CARTAO"
VALOR_FATURADO,VALOR_FATURADO,"CARTIDENTIF.VALOR_FATURADO"
NUMERO_FATURA,NUMERO_FATURA,"CARTIDENTIF.NUMERO_FATURA"
SITUACAO_ATUALIZACAO_DADOS,SITUACAO_ATUALIZACAO_DADOS,"CARTIDENTIF.SITUACAO_ATUALIZACAO_DADOS"
DESCRICAO_ROTINA_CARTAO,DESCRICAO_ROTINA_CARTAO,"CARTIDENTIF.DESCRICAO_ROTINA_CARTAO"
DATA_INICIO_REPASSE,DATA_INICIO_REPASSE,"REPASSE.DATA_INICIO_REPASSE"
DATA_FINAL_REPASSE,DATA_FINAL_REPASSE,"REPASSE.DATA_FINAL_REPASSE"
CPT,CPT,"CASE WHEN ((SELECT MAX(CID.QTDCPT) FROM SAM_BENEFICIARIO_CID CID WHERE CID.BENEFICIARIO = BEN.HANDLE) > SYSDATE - CON.DATAADESAO) OR ((SELECT MAX(EVE.QTDCPT) FROM SAM_BENEFICIARIO_EVENTO EVE WHERE EVE.BENEFICIARIO = BEN.HANDLE) > SYSDATE - CON.DATAADESAO) OR ((SELECT MAX(PAT.QTDCPT) FROM SAM_BENEFICIARIO_PATOLOGIA PAT WHERE PAT.BENEFICIARIO = BEN.HANDLE) > SYSDATE - CON.DATAADESAO) THEN 'S' ELSE 'N' END"
TIPO_RESPONSAVEL,TIPO_RESPONSAVEL,"CASE WHEN CON.LOCALFATURAMENTO = 'C' THEN 'P' WHEN CON.LOCALFATURAMENTO = 'L' THEN 'P' WHEN CON.LOCALFATURAMENTO = 'F' THEN CASE WHEN FAM.TITULARRESPONSAVEL IS NOT NULL THEN 'B' WHEN FAM.PESSOARESPONSAVEL IS NOT NULL THEN 'P' END END"
HANDLE_FAMILIA,HANDLE_FAMILIA,"FAM.HANDLE"
HANDLE_CONTRATO,HANDLE_CONTRATO,"CON.HANDLE"
HANDLE_TITULARRESPONSAVEL,HANDLE_TITULARRESPONSAVEL,"FAM.TITULARRESPONSAVEL"
HANDLE_PESSOARESPONSAVEL,HANDLE_PESSOARESPONSAVEL,"FAM.PESSOARESPONSAVEL"
HANDLE_LOTACAO,HANDLE_LOTACAO,"FAM.LOTACAO"
LOCAL_FATURAMENTO,LOCAL_FATURAMENTO,"CON.LOCALFATURAMENTO"
DW_INC,DW_INC,"SYSDATE"
DW_ALT,DW_ALT,"SYSDATE"
