"OWNER","TABLE_NAME","COLUMN_NAME","DATA_TYPE","NUM_NULLS","NUM_DISTINCT","TOTAL_REQS","TOTAL_COLUMNS","PERCENT_NULLS"
"DWUNIMED","BN_BENEFICIARIO","TELEFONE","VARCHAR2",230,330912,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","CELULAR","VARCHAR2",0,538112,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","TIPO_BENEFICIARIO","VARCHAR2",0,4,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","TIPO_DEPENDENTE","VARCHAR2",71,48,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","UNI_ORIGEM","VARCHAR2",0,408,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","UNI_DESTINO","VARCHAR2",0,386,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","CODIGO_AFINIDADE","VARCHAR2",371,4964864,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","DATA_ADESAO_FAMILIA","DATE",537,23756,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","CODIGO_ORIGEM","VARCHAR2",17,5009920,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","UNI_ORIGEM_RAZAOSOCIAL","VARCHAR2",0,378,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","UNI_DESTINO_RAZAOSOCIAL","VARCHAR2",0,358,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","UF_UNI_ORIGEM","CHAR",0,27,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","UNI_ORIGEM_CAMARA_COMPENSACAO","VARCHAR2",0,7,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","UNI_ORIGEM_DESC_POLITICA","VARCHAR2",0,4,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","UNI_ORIGEM_TIPO_CAMARA_COMP","VARCHAR2",0,4,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","DATA_PRIM_ADESAO_BENEF","DATE",21,13328,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","POSSUI_BIOMETRIA","VARCHAR2",0,2,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","TELEFONE1_CORRESP","VARCHAR2",0,262560,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","TELEFONE2_CORRESP","VARCHAR2",0,69464,5107355,149,"       0,00"
"DWUNIMED","BN_BENEFICIARIO","ID_BENEFICIARIO_RESP","NUMBER",71056,2049152,5107355,149,"       0,01"
"DWUNIMED","BN_BENEFICIARIO","COBRANCA_MES_SEGUINTE","VARCHAR2",102849,2,5107355,149,"       0,02"
"DWUNIMED","BN_BENEFICIARIO","DIA_COBRANCA","NUMBER",89384,31,5107355,149,"       0,02"
"DWUNIMED","BN_BENEFICIARIO","MOTIVO_INCLUSAO","VARCHAR2",235093,3,5107355,149,"       0,05"
"DWUNIMED","BN_BENEFICIARIO","MATRICULA_UNICA","NUMBER",329903,4388352,5107355,149,"       0,06"
"DWUNIMED","BN_BENEFICIARIO","DATA_PRIMEIRA_ADESAO","DATE",325836,13836,5107355,149,"       0,06"
"DWUNIMED","BN_BENEFICIARIO","DATA_INGRESSO","DATE",325836,13836,5107355,149,"       0,06"
"DWUNIMED","BN_BENEFICIARIO","DATA_CANCELAMENTO","DATE",913432,13336,5107355,149,"       0,18"
"DWUNIMED","BN_BENEFICIARIO","MOTIVO_CANC","VARCHAR2",915497,73,5107355,149,"       0,18"
"DWUNIMED","BN_BENEFICIARIO","ID_MOTIVO_CANC","NUMBER",915497,73,5107355,149,"       0,18"
"DWUNIMED","BN_BENEFICIARIO","CPF_BENEFICIARIO","VARCHAR2",1233477,1989248,5107355,149,"       0,24"
"DWUNIMED","BN_BENEFICIARIO","NOME_MAE","VARCHAR2",1225372,1771008,5107355,149,"       0,24"
"DWUNIMED","BN_BENEFICIARIO","CEP","VARCHAR2",1270782,152256,5107355,149,"       0,25"
"DWUNIMED","BN_BENEFICIARIO","CIDADE","VARCHAR2",1274589,3905,5107355,149,"       0,25"
"DWUNIMED","BN_BENEFICIARIO","ENDERECO","VARCHAR2",1270798,173728,5107355,149,"       0,25"
"DWUNIMED","BN_BENEFICIARIO","BAIRRO","VARCHAR2",1279653,31368,5107355,149,"       0,25"
"DWUNIMED","BN_BENEFICIARIO","UF","VARCHAR2",1270822,27,5107355,149,"       0,25"
"DWUNIMED","BN_BENEFICIARIO","CODIGO_IBGE","NUMBER",1274589,3496,5107355,149,"       0,25"
"DWUNIMED","BN_BENEFICIARIO","NUMERO","NUMBER",1331577,10308,5107355,149,"       0,26"
"DWUNIMED","BN_BENEFICIARIO","DATA_ULTIMO_REAJUSTE_FAMILIA","DATE",1464305,12372,5107355,149,"       0,29"
"DWUNIMED","BN_BENEFICIARIO","COD_GRAU_DEPEND_ANS","VARCHAR2",1506388,6,5107355,149,"       0,29"
"DWUNIMED","BN_BENEFICIARIO","COD_BENEFICIARIO_ANS","VARCHAR2",1555433,3327744,5107355,149,"       0,30"
"DWUNIMED","BN_BENEFICIARIO","SEQUENCIA","NUMBER",1555115,3552240,5107355,149,"       0,30"
"DWUNIMED","BN_BENEFICIARIO","DATA_INICIAL_VALIDADE","DATE",1651101,24456,5107355,149,"       0,32"
"DWUNIMED","BN_BENEFICIARIO","DATA_FINAL_VALIDADE","DATE",1651101,10328,5107355,149,"       0,32"
"DWUNIMED","BN_BENEFICIARIO","SITUACAO_CARTAO","VARCHAR2",1651101,3,5107355,149,"       0,32"
"DWUNIMED","BN_BENEFICIARIO","VIA_CARTAO","VARCHAR2",1651363,61,5107355,149,"       0,32"
"DWUNIMED","BN_BENEFICIARIO","DATA_VALID_CARTEIRA","DATE",1651101,10328,5107355,149,"       0,32"
"DWUNIMED","BN_BENEFICIARIO","DATA_GERAC_CARTEIRA","DATE",1651101,686208,5107355,149,"       0,32"
"DWUNIMED","BN_BENEFICIARIO","TIPO_CARTAO","VARCHAR2",1651128,11,5107355,149,"       0,32"
"DWUNIMED","BN_BENEFICIARIO","DV_CARTAO_BENEF","NUMBER",1651101,10,5107355,149,"       0,32"
"DWUNIMED","BN_BENEFICIARIO","SOFREU_ADAPTACAO","VARCHAR2",1717230,2,5107355,149,"       0,34"
"DWUNIMED","BN_BENEFICIARIO","DATA_EMISS_CARTEIRA","DATE",1775620,115888,5107355,149,"       0,35"
"DWUNIMED","BN_BENEFICIARIO","NACIONALIDADE","VARCHAR2",1773857,92,5107355,149,"       0,35"
"DWUNIMED","BN_BENEFICIARIO","CCO","VARCHAR2",1829173,3054592,5107355,149,"       0,36"
"DWUNIMED","BN_BENEFICIARIO","CCO_DV","VARCHAR2",1829172,101,5107355,149,"       0,36"
"DWUNIMED","BN_BENEFICIARIO","DATA_CANCELAMENTO_FAMILIA","DATE",1903754,11028,5107355,149,"       0,37"
"DWUNIMED","BN_BENEFICIARIO","ENDERECO_CORRESP","VARCHAR2",1973407,130512,5107355,149,"       0,39"
"DWUNIMED","BN_BENEFICIARIO","BAIRRO_CORRESP","VARCHAR2",1975206,24756,5107355,149,"       0,39"
"DWUNIMED","BN_BENEFICIARIO","CEP_CORRESP","VARCHAR2",1973363,119712,5107355,149,"       0,39"
"DWUNIMED","BN_BENEFICIARIO","CIDADE_CORRESP","VARCHAR2",1973654,3591,5107355,149,"       0,39"
"DWUNIMED","BN_BENEFICIARIO","UF_CORRESP","VARCHAR2",1973596,27,5107355,149,"       0,39"
"DWUNIMED","BN_BENEFICIARIO","NUMERO_CORRESP","NUMBER",1988524,9544,5107355,149,"       0,39"
"DWUNIMED","BN_BENEFICIARIO","CARTAO_NACIONAL_SAUDE","VARCHAR2",2233107,1967232,5107355,149,"       0,44"
"DWUNIMED","BN_BENEFICIARIO","DW_INC","DATE",2625707,19608,5107355,149,"       0,51"
"DWUNIMED","BN_BENEFICIARIO","DESCRICAO_ROTINA_CARTAO","VARCHAR2",2668556,6614,5107355,149,"       0,52"
"DWUNIMED","BN_BENEFICIARIO","COD_PAIS_RG_ANS","VARCHAR2",2757220,3,5107355,149,"       0,54"
"DWUNIMED","BN_BENEFICIARIO","PAIS_RG","VARCHAR2",2757142,146,5107355,149,"       0,54"
"DWUNIMED","BN_BENEFICIARIO","DATA_INCLUSAO_FAMILIA","DATE",2951021,974208,5107355,149,"       0,58"
"DWUNIMED","BN_BENEFICIARIO","DATA_VENDA_FAMILIA","DATE",3118935,776832,5107355,149,"       0,61"
"DWUNIMED","BN_BENEFICIARIO","SITUACAO_ATUALIZACAO_DADOS","VARCHAR2",3208986,2,5107355,149,"       0,63"
"DWUNIMED","BN_BENEFICIARIO","DATA_CANC_CONTRATO","DATE",3410922,1327,5107355,149,"       0,67"
"DWUNIMED","BN_BENEFICIARIO","RG_BENEFICIARIO","VARCHAR2",3534253,1035520,5107355,149,"       0,69"
"DWUNIMED","BN_BENEFICIARIO","MATRIC_BEN_EMPRESA","VARCHAR2",3515094,344320,5107355,149,"       0,69"
"DWUNIMED","BN_BENEFICIARIO","COMPLEMENTO","VARCHAR2",3598688,141600,5107355,149,"       0,70"
"DWUNIMED","BN_BENEFICIARIO","ORGAO_EMISSOR_RG","VARCHAR2",3769681,421,5107355,149,"       0,74"
"DWUNIMED","BN_BENEFICIARIO","COMPLEMENTO_CORRESP","VARCHAR2",3799387,127200,5107355,149,"       0,74"
"DWUNIMED","BN_BENEFICIARIO","ORIGEM_CARENCIA","VARCHAR2",3776369,2,5107355,149,"       0,74"
"DWUNIMED","BN_BENEFICIARIO","DATA_EXPED_RG","DATE",3829465,22816,5107355,149,"       0,75"
"DWUNIMED","BN_BENEFICIARIO","DATA_ATENDIMENTO_ATE","DATE",3864832,9384,5107355,149,"       0,76"
"DWUNIMED","BN_BENEFICIARIO","USUARIO_INCLUSAO_FAMILIA","VARCHAR2",4080425,377,5107355,149,"       0,80"
"DWUNIMED","BN_BENEFICIARIO","EMAIL","VARCHAR2",4271011,584768,5107355,149,"       0,84"
"DWUNIMED","BN_BENEFICIARIO","NUM_PROPOSTA_FAMILIA","VARCHAR2",4407646,378432,5107355,149,"       0,86"
"DWUNIMED","BN_BENEFICIARIO","DATA_INICIO_REPASSE","DATE",4396362,8386,5107355,149,"       0,86"
"DWUNIMED","BN_BENEFICIARIO","UF_RG","VARCHAR2",4387099,31,5107355,149,"       0,86"
"DWUNIMED","BN_BENEFICIARIO","DDD","VARCHAR2",4417062,81,5107355,149,"       0,86"
"DWUNIMED","BN_BENEFICIARIO","PISPASEP","VARCHAR2",4518334,420928,5107355,149,"       0,88"
"DWUNIMED","BN_BENEFICIARIO","DATA_ULTIMA_ATU_CADASTRAL","DATE",4471823,24410,5107355,149,"       0,88"
"DWUNIMED","BN_BENEFICIARIO","DATA_FINAL_REPASSE","DATE",4540039,5699,5107355,149,"       0,89"
"DWUNIMED","BN_BENEFICIARIO","ANOTACAO_ADM_FAMILIA","VARCHAR2",4555780,177872,5107355,149,"       0,89"
"DWUNIMED","BN_BENEFICIARIO","TIPO_FATURAMENTO_REP","VARCHAR2",4671586,1,5107355,149,"       0,91"
"DWUNIMED","BN_BENEFICIARIO","VALOR_TETO_COBRANCA","NUMBER",4685200,619,5107355,149,"       0,92"
"DWUNIMED","BN_BENEFICIARIO","DATA_INICIAL_TETO_COBRANCA","DATE",4685200,2073,5107355,149,"       0,92"
"DWUNIMED","BN_BENEFICIARIO","K_TELEFONE1_ZENITE","VARCHAR2",4981884,113872,5107355,149,"       0,98"
"DWUNIMED","BN_BENEFICIARIO","DNV","VARCHAR2",5024676,66896,5107355,149,"       0,98"
"DWUNIMED","BN_BENEFICIARIO","K_TELEFONE2_ZENITE","VARCHAR2",5016785,79752,5107355,149,"       0,98"
"DWUNIMED","BN_BENEFICIARIO","DATA_REATIVACAO","DATE",4991576,3241,5107355,149,"       0,98"
"DWUNIMED","BN_BENEFICIARIO","DATA_ADAPTACAO","DATE",5056715,2924,5107355,149,"       0,99"
"DWUNIMED","BN_BENEFICIARIO","DATA_INICIO_INAT_FAMILIA","DATE",5079422,4214,5107355,149,"       0,99"
"DWUNIMED","BN_BENEFICIARIO","IDADE_ADAPTACAO","NUMBER",5072778,79,5107355,149,"       0,99"
"DWUNIMED","BN_BENEFICIARIO","DATA_FALECIMENTO","DATE",5094132,2944,5107355,149,"       1,00"
"DWUNIMED","BN_BENEFICIARIO","K_TELEFONE_CELULAR_SAC","VARCHAR2",5106971,382,5107355,149,"       1,00"
"DWUNIMED","BN_BENEFICIARIO","VALOR_FATURADO","NUMBER",5107355,0,5107355,149,"       1,00"
"DWUNIMED","BN_BENEFICIARIO","DATA_FINAL_TETO_COBRANCA","DATE",5107034,45,5107355,149,"       1,00"
"DWUNIMED","BN_BENEFICIARIO","BLOQUEAR_RECAD_BIO_AUT_WEB","VARCHAR2",5085952,2,5107355,149,"       1,00"
"DWUNIMED","BN_BENEFICIARIO","SETOR_UNIMED","VARCHAR2",5104385,160,5107355,149,"       1,00"
"DWUNIMED","BN_BENEFICIARIO","UNIMED_EM_CASA","VARCHAR2",5096872,2,5107355,149,"       1,00"
"DWUNIMED","BN_BENEFICIARIO","BEM_ESTAR_E_SAUDE","VARCHAR2",5096981,2,5107355,149,"       1,00"
"DWUNIMED","BN_BENEFICIARIO","K_EMAIL_ZENITE","VARCHAR2",5101602,5217,5107355,149,"       1,00"
"DWUNIMED","BN_BENEFICIARIO","K_EMAIL_IRIS","VARCHAR2",5101919,5420,5107355,149,"       1,00"
"DWUNIMED","BN_BENEFICIARIO","K_EMAIL_IW","VARCHAR2",5093237,13585,5107355,149,"       1,00"
"DWUNIMED","BN_BENEFICIARIO","K_TELEFONE1_IW","VARCHAR2",5084456,16318,5107355,149,"       1,00"
"DWUNIMED","BN_BENEFICIARIO","K_TELEFONE2_IW","VARCHAR2",5093786,12982,5107355,149,"       1,00"
"DWUNIMED","BN_BENEFICIARIO","K_TELEFONE3_IW","VARCHAR2",5104680,2591,5107355,149,"       1,00"
"DWUNIMED","BN_BENEFICIARIO","K_TELEFONE4_IW","VARCHAR2",5100045,6929,5107355,149,"       1,00"
"DWUNIMED","BN_BENEFICIARIO","K_EMAIL_SAC","VARCHAR2",5107250,105,5107355,149,"       1,00"
"DWUNIMED","BN_BENEFICIARIO","K_TELEFONE_RES_SAC","VARCHAR2",5107118,233,5107355,149,"       1,00"
"DWUNIMED","BN_BENEFICIARIO","K_TELEFONE_CONTATO_SAC","VARCHAR2",5107269,86,5107355,149,"       1,00"
"DWUNIMED","BN_BENEFICIARIO","NUMERO_FATURA","NUMBER",5107355,0,5107355,149,"       1,00"
