,nome_tabela,nome_coluna
77,SAM_FAMILIA,DATACANCELAMENTO
76,SAM_FAMILIA,DATAINICIOINATIVIDADE
75,SAM_FAMILIA,DATAVENDA
73,SAM_FAMILIA,FAMILIA
80,SAM_FAMILIA,NUMEROPROPOSTA
201,SAM_FAMILIA_ANOTADM,OBSERVACAO
199,SAM_FAMILIA_ANOTADM,DATA
198,SAM_FAMILIA_ANOTADM,FAMILIA
414,SAM_FAMILIA_ANOTADM,ANOTACAO
403,SAM_FAMILIA_TETO_PF,VALORTETOPF
402,SAM_FAMILIA_TETO_PF,DATAFINAL
401,SAM_FAMILIA_TETO_PF,DATAINICIAL
400,SAM_FAMILIA_TETO_PF,FAMILIA
399,SAM_FAMILIA_TETO_PF,HANDLE
60,SAM_MATRICULA,DATAINGRESSO
68,SAM_MATRICULA,MATRICULA
69,SAM_MATRICULA,ORGAOEMISSOR
70,SAM_MATRICULA,DATAFALECIMENTO
71,SAM_MATRICULA,PISPASEP
72,SAM_MATRICULA,NOMEMAE
64,SAM_MATRICULA,DATANASCIMENTO
63,SAM_MATRICULA,DATAEXPEDICAORG
61,SAM_MATRICULA,CARTAONACIONALSAUDE
59,SAM_MATRICULA,CPF
62,SAM_MATRICULA,DNV
67,SAM_MATRICULA,SEXO
66,SAM_MATRICULA,RG
312,SAM_MATRICULA,ESTADOEMISSOR
296,SAM_MATRICULA,HANDLE
311,SAM_MATRICULA,PAISEMISSOR
310,SAM_MATRICULA,NACIONALIDADE
348,SAM_MOTIVOCANCELAMENTO,HANDLE
175,SAM_MOTIVOCANCELAMENTO,DESCRICAO
11,SAM_MOTIVOCANCELAMENTO,CODIGO
208,SAM_ORIGEMCARENCIA,HANDLE
410,SAM_ORIGEMCARENCIA,DESCRICAO
92,SAM_PLANO,CODIGO
288,SAM_PLANO,HANDLE
392,SAM_POLITICA,HANDLE
103,SAM_POLITICA,DESCRICAO
482,SAM_RAMOATIVIDADE,DESCRICAO
481,SAM_RAMOATIVIDADE,HANDLE
195,SAM_REPASSEINTER,DATAINICIAL
194,SAM_REPASSEINTER,UNIMEDDESTINO
190,SAM_REPASSEINTER,TIPOFATURAMENTO
197,SAM_REPASSEINTER,CONTRATO
196,SAM_REPASSEINTER,DATAFINAL
158,SAM_ROTINACARTAO,DESCRICAO
149,SAM_TIPOCARTAO,DESCRICAO
372,SAM_TIPOCARTAO,HANDLE
93,SAM_TIPODEPENDENTE,DESCRICAO
94,SAM_TIPODEPENDENTE,CODIGOANS
340,SAM_TIPODEPENDENTE,HANDLE
355,SAM_UNIMED,ENDERECO
354,SAM_UNIMED,POLITICA
184,SAM_UNIMED,HANDLE
625,SAM_UNIMED,PESSOA
110,SAM_UNIMED,RAZAOSOCIAL
102,SAM_UNIMED,CODIGO
473,SFN_AGENCIA,HANDLE
474,SFN_AGENCIA,AGENCIA
475,SFN_BANCO,HANDLE
476,SFN_BANCO,CODIGO
778,SFN_CONTAFIN,BENEFICIARIO
464,SFN_CONTAFIN,TABGERACAOREC
463,SFN_CONTAFIN,TIPODOCUMENTOREC
462,SFN_CONTAFIN,HANDLE
461,SFN_CONTAFIN,PESSOA
472,SFN_CONTAFIN_COMPLEMENTO,FAMILIA
471,SFN_CONTAFIN_COMPLEMENTO,DV
470,SFN_CONTAFIN_COMPLEMENTO,BANCO
469,SFN_CONTAFIN_COMPLEMENTO,AGENCIA
468,SFN_CONTAFIN_COMPLEMENTO,CONTACORRENTE
467,SFN_CONTAFIN_COMPLEMENTO,DATAFINAL
466,SFN_CONTAFIN_COMPLEMENTO,DATAINICIAL
465,SFN_CONTAFIN_COMPLEMENTO,CONTAFINANCEIRA
484,SFN_CONTAFIN_TIPODOCUMENTO,CONTAFINANCEIRA
155,SFN_FATURA,NUMERO
374,SFN_FATURA,HANDLE
7,SFN_PESSOA,HANDLE
111,SFN_PESSOA,NOME
438,SFN_PESSOA,CNPJCPF
440,SFN_PESSOA,DATASAIDA
444,SFN_PESSOA,TABFISICAJURIDICA
443,SFN_PESSOA,EMAIL
442,SFN_PESSOA,DATANASCIMENTO
441,SFN_PESSOA,DATAENTRADA
437,SFN_PESSOA,RAMOATIVIDADE
436,SFN_PESSOA,ENDERECOCORRESPONDENCIA
478,SFN_TIPODOCUMENTO,DESCRICAO
477,SFN_TIPODOCUMENTO,HANDLE
428,SIGA.CTT010,CTT_DESC01
429,SIGA.CTT010,CTT_CUSTO
425,SIGA.VW_SRA010,RA_EMAIL
426,SIGA.VW_SRA010,RA_MAT
427,SIGA.VW_SRA010,RA_CC
424,SIGA.VW_SRA010,RA_TELEFON
189,SIS_TIPOFATURAMENTO,HANDLE
418,SIS_TIPOFATURAMENTO,DESCRICAO
852,TIPDOC,DESCRICAO
106,Z_GRUPOUSUARIOS,HANDLE
398,Z_GRUPOUSUARIOS,NOME
