table_name,column_name,dw_column_name,rule,num_distinct,percent_nulls
SAM_BENEFICIARIO_CARTAOIDENTIF,SITUACAO_ATUALIZACAO_DADOS,SITUACAO_ATUALIZACAO_DADOS,CARTIDENTIF.SITUACAO_ATUALIZACAO_DADOS,2,0.63
SAM_BENEFICIARIO_CARTAOIDENTIF,NUMERO_FATURA,NUMERO_FATURA,CARTIDENTIF.NUMERO_FATURA,0,1.00
SAM_BENEFICIARIO_CARTAOIDENTIF,VALOR_FATURADO,VALOR_FATURADO,CARTIDENTIF.VALOR_FATURADO,0,1.00
SAM_BENEFICIARIO_HISTORICO,DATA_REATIVACAO,DATA_REATIVACAO,CASE WHEN BEN.DATACANCELAMENTO > REATIVACAO.DATA_REATIVACAO THEN NULL ELSE REATIVACAO.DATA_REATIVACAO END,3241,0.98
SAM_BENEFICIARIO_MOD_REPASSE,DATA_INICIO_REPASSE,DATA_INICIO_REPASSE,REPASSE.DATA_INICIO_REPASSE,8386,0.86
SAM_BENEFICIARIO_MOD_REPASSE,DATA_FINAL_REPASSE,DATA_FINAL_REPASSE,REPASSE.DATA_FINAL_REPASSE,5699,0.89
SAM_CAMARACOMPENSACAO,UNI_ORIGEM_CAMARA_COMPENSACAO,UNI_ORIGEM_CAMARA_COMPENSACAO,CASE WHEN UNIO.HANDLE IS NULL THEN 'Estadual' WHEN CAMCOM.DESCRICAO IS NULL THEN 'Sem Informação' ELSE CAMCOM.DESCRICAO END,7,0.00
SAM_CAMARACOMPENSACAO,UNI_ORIGEM_TIPO_CAMARA_COMP,UNI_ORIGEM_TIPO_CAMARA_COMP,"CASE WHEN UNIO.HANDLE IS NULL THEN '2-Federativa' WHEN CAMCOM.TIPOCAMARA IS NULL THEN 'Sem Informação' ELSE DECODE(CAMCOM.TIPOCAMARA ,1,'1-Intra-Federativa',2,'2-Federativa',3,'3-Inter-Federativa',4,'4-Nacional') END",4,0.00
SAM_CBO,CBO,CBO,,2681,0.00
SAM_CONTRATO,INTERCAMBIO,INTERCAMBIO,CASE WHEN CON.INTERCAMBIO = 1 THEN 'Sim' WHEN CON.INTERCAMBIO = 2 THEN 'Não' END,2,0.00
SAM_CONTRATO,ID_CONTRATANTE,ID_CONTRATANTE,,41976,0.00
SAM_CONTRATO,CONTRATANTE,CONTRATANTE,,36712,0.00
SAM_CONTRATO,DATA_ADESAO_CONTRATO,DATA_ADESAO_CONTRATO,,5890,0.00
SAM_CONTRATO,UNI_ORIGEM,UNI_ORIGEM,,408,0.00
SAM_CONTRATO,DATA_CANC_CONTRATO,DATA_CANC_CONTRATO,,1327,0.67
SAM_CONTRATO_TIPOCARTAO,TIPO_CARTAO,TIPO_CARTAO,CARTIDENTIF.TIPO_CARTAO,11,0.32
SAM_CONTRATO_TPDEP,IDADE_MAXIMA,IDADE_MAXIMA,,28,0.00
SAM_CONVENIO,CONVENIO,CONVENIO,,1,0.00
SAM_ENDERECO,BAIRRO,BAIRRO,ENDR.BAIRRO,31368,0.25
SAM_ENDERECO,ENDERECO,ENDERECO,ENDR.LOGRADOURO,173728,0.25
SAM_ENDERECO,CEP,CEP,ENDR.CEP,152256,0.25
SAM_ENDERECO,NUMERO,NUMERO,ENDR.NUMERO,10308,0.26
SAM_ENDERECO,BAIRRO_CORRESP,BAIRRO_CORRESP,ENDC.BAIRRO,24756,0.39
SAM_ENDERECO,ENDERECO_CORRESP,ENDERECO_CORRESP,ENDC.LOGRADOURO,130512,0.39
SAM_ENDERECO,NUMERO_CORRESP,NUMERO_CORRESP,ENDC.NUMERO,9544,0.39
SAM_ENDERECO,CEP_CORRESP,CEP_CORRESP,ENDC.CEP,119712,0.39
SAM_ENDERECO,COMPLEMENTO,COMPLEMENTO,ENDR.COMPLEMENTO,141600,0.70
SAM_ENDERECO,COMPLEMENTO_CORRESP,COMPLEMENTO_CORRESP,ENDC.COMPLEMENTO,127200,0.74
SAM_ENDERECO,DDD,DDD,ENDR.DDD1,81,0.86
SAM_ESTADOCIVIL,ESTADO_CIVIL,ESTADO_CIVIL,,7,0.00
SAM_FAMILIA,CODIGO_FAMILIA,CODIGO_FAMILIA,,858624,0.00
SAM_FAMILIA,DATA_ADESAO_FAMILIA,DATA_ADESAO_FAMILIA,,23756,0.00
SAM_FAMILIA,ID_FAMILIA,ID_FAMILIA,,2071680,0.00
SAM_FAMILIA,SITUACAO_FAMILIA,SITUACAO_FAMILIA,,3,0.00
SAM_FAMILIA,DIA_COBRANCA,DIA_COBRANCA,,31,0.02
SAM_FAMILIA,COBRANCA_MES_SEGUINTE,COBRANCA_MES_SEGUINTE,"DECODE(FAM.COBRANCANOMESSEGUINTE,'S','Sim','N','Não')",2,0.02
SAM_FAMILIA,DATA_ULTIMO_REAJUSTE_FAMILIA,DATA_ULTIMO_REAJUSTE_FAMILIA,,12372,0.29
SAM_FAMILIA,DATA_CANCELAMENTO_FAMILIA,DATA_CANCELAMENTO_FAMILIA,,11028,0.37
SAM_FAMILIA,DATA_INCLUSAO_FAMILIA,DATA_INCLUSAO_FAMILIA,,974208,0.58
SAM_FAMILIA,DATA_VENDA_FAMILIA,DATA_VENDA_FAMILIA,,776832,0.61
SAM_FAMILIA,USUARIO_INCLUSAO_FAMILIA,USUARIO_INCLUSAO_FAMILIA,,377,0.80
SAM_FAMILIA,NUM_PROPOSTA_FAMILIA,NUM_PROPOSTA_FAMILIA,,378432,0.86
SAM_FAMILIA,DATA_INICIO_INAT_FAMILIA,DATA_INICIO_INAT_FAMILIA,,4214,0.99
SAM_MATRICULA,SEXO,SEXO,,3,0.00
SAM_MATRICULA,DATA_NASCIMENTO,DATA_NASCIMENTO,,41792,0.00
SAM_MATRICULA,DATA_INGRESSO,DATA_INGRESSO,,13836,0.06
SAM_MATRICULA,MATRICULA_UNICA,MATRICULA_UNICA,,4388352,0.06
SAM_MATRICULA,DATA_PRIMEIRA_ADESAO,DATA_PRIMEIRA_ADESAO,,13836,0.06
SAM_MATRICULA,CPF_BENEFICIARIO,CPF_BENEFICIARIO,,1989248,0.24
SAM_MATRICULA,NOME_MAE,NOME_MAE,,1771008,0.24
SAM_MATRICULA,CARTAO_NACIONAL_SAUDE,CARTAO_NACIONAL_SAUDE,,1967232,0.44
SAM_MATRICULA,RG_BENEFICIARIO,RG_BENEFICIARIO,,1035520,0.69
SAM_MATRICULA,ORGAO_EMISSOR_RG,ORGAO_EMISSOR_RG,,421,0.74
SAM_MATRICULA,DATA_EXPED_RG,DATA_EXPED_RG,,22816,0.75
SAM_MATRICULA,PISPASEP,PISPASEP,,420928,0.88
SAM_MATRICULA,DNV,DNV,,66896,0.98
SAM_MATRICULA,DATA_FALECIMENTO,DATA_FALECIMENTO,,2944,1.00
SAM_PLANO,ID_PLANO,ID_PLANO,,172,0.00
SAM_PLANO,CODIGO_PLANO,CODIGO_PLANO,,172,0.00
SAM_ROTINACARTAO,DESCRICAO_ROTINA_CARTAO,DESCRICAO_ROTINA_CARTAO,CARTIDENTIF.DESCRICAO_ROTINA_CARTAO,6614,0.52
SAM_TIPOCARTAO,TIPO_CARTAO,TIPO_CARTAO,CARTIDENTIF.TIPO_CARTAO,11,0.32
SAM_TIPODEPENDENTE,TIPO_DEPENDENTE,TIPO_DEPENDENTE,,48,0.00
SAM_TIPODEPENDENTE,COD_GRAU_DEPEND_ANS,COD_GRAU_DEPEND_ANS,,6,0.29
SAM_UNIMED,UNI_DESTINO,UNI_DESTINO,,386,0.00
SAM_UNIMED,UNI_ORIGEM,UNI_ORIGEM,,408,0.00
SFN_FATURA,NUMERO_FATURA,NUMERO_FATURA,CARTIDENTIF.NUMERO_FATURA,0,1.00
SFN_PESSOA,UNI_ORIGEM_RAZAOSOCIAL,UNI_ORIGEM_RAZAOSOCIAL,,378,0.00
SFN_PESSOA,UNI_DESTINO_RAZAOSOCIAL,UNI_DESTINO_RAZAOSOCIAL,,358,0.00
