Column,Table
ORIGEMCARENCIA,SAM_BENEFICIARIO
MATRICULAFUNCIONAL,SAM_BENEFICIARIO
HANDLE,SAM_CONTRATO
UNIMEDORIGEM,SAM_CONTRATO
DATAADESAO,SAM_CONTRATO
DATACANCELAMENTO,SAM_CONTRATO
LOCALFATURAMENTO,SAM_CONTRATO
ESPELHO,SAM_CONTRATO
INTERCAMBIO,SAM_CONTRATO
PESSOA,SAM_CONTRATO
HANDLE,SAM_FAMILIA
CONTRATO,SAM_FAMILIA
TITULARRESPONSAVEL,SAM_FAMILIA
PESSOARESPONSAVEL,SAM_FAMILIA
LOTACAO,SAM_FAMILIA
DATAADESAO,SAM_FAMILIA
DATAVENDA,SAM_FAMILIA
DATAINICIOINATIVIDADE,SAM_FAMILIA
DATACANCELAMENTO,SAM_FAMILIA
DATAINCLUSAO,SAM_FAMILIA
DATAULTIMOREAJUSTE,SAM_FAMILIA
NUMEROPROPOSTA,SAM_FAMILIA
DIACOBRANCA,SAM_FAMILIA
COBRANCANOMESSEGUINTE,SAM_FAMILIA
LEIDEMITIDOSAPOSENTADOS,SAM_FAMILIA
USUARIOINCLUSAO,SAM_FAMILIA
HANDLE,SAM_MATRICULA
CPF,SAM_MATRICULA
DATAINGRESSO,SAM_MATRICULA
CARTAONACIONALSAUDE,SAM_MATRICULA
DNV,SAM_MATRICULA
DATAEXPEDICAORG,SAM_MATRICULA
DATANASCIMENTO,SAM_MATRICULA
RG,SAM_MATRICULA
SEXO,SAM_MATRICULA
MATRICULA,SAM_MATRICULA
ORGAOEMISSOR,SAM_MATRICULA
DATAFALECIMENTO,SAM_MATRICULA
PISPASEP,SAM_MATRICULA
NOMEMAE,SAM_MATRICULA
NACIONALIDADE,SAM_MATRICULA
PAISEMISSOR,SAM_MATRICULA
ESTADOEMISSOR,SAM_MATRICULA
HANDLE,SAM_CONTRATO_LOTACAO
PESSOAFATURAMENTO,SAM_CONTRATO_LOTACAO
DESCRICAO,SAM_CONTRATO_LOTACAO
HANDLE,PAISES
GENTILICO,PAISES
NOME,PAISES
CODIGOANS,PAISES
SIGLA,ESTADOS
HANDLE,SFN_PESSOA
HANDLE,SAM_CBO
ESTRUTURA,SAM_CBO
DESCRICAO,SAM_CBO
HANDLE,SAM_CONVENIO
DESCRICAO,SAM_CONVENIO
HANDLE,SAM_ESTADOCIVIL
DESCRICAO,SAM_ESTADOCIVIL
HANDLE,SAM_CONTRATO_TPDEP
TIPODEPENDENTE,SAM_CONTRATO_TPDEP
IDADEMAXIMA,SAM_CONTRATO_TPDEP
HANDLE,SAM_TIPODEPENDENTE
DESCRICAO,SAM_TIPODEPENDENTE
CODIGOANS,SAM_TIPODEPENDENTE
HANDLE,SAM_MOTIVOCANCELAMENTO
CODIGO,SAM_MOTIVOCANCELAMENTO
DESCRICAO,SAM_MOTIVOCANCELAMENTO
HANDLE,SAM_PLANO
CODIGO,SAM_PLANO
HANDLE,SAM_ENDERECO
MUNICIPIO,SAM_ENDERECO
ESTADO,SAM_ENDERECO
BAIRRO,SAM_ENDERECO
CEP,SAM_ENDERECO
COMPLEMENTO,SAM_ENDERECO
DDD1,SAM_ENDERECO
LOGRADOURO,SAM_ENDERECO
NUMERO,SAM_ENDERECO
DDD2,SAM_ENDERECO
PREFIXO2,SAM_ENDERECO
NUMERO2,SAM_ENDERECO
DDDCELULAR,SAM_ENDERECO
PREFIXOCELULAR,SAM_ENDERECO
NUMEROCELULAR,SAM_ENDERECO
HANDLE,K_SAM_BENEFICIARIO_APOIOSAUDE
BENEFICIARIO,K_SAM_BENEFICIARIO_APOIOSAUDE
UNIMEDEMCASA,K_SAM_BENEFICIARIO_APOIOSAUDE
BEMESTARESAUDE,K_SAM_BENEFICIARIO_APOIOSAUDE
HANDLE,MUNICIPIOS
NOME,MUNICIPIOS
CODIGOIBGE,MUNICIPIOS
HANDLE,SAM_UNIMED
CODIGO,SAM_UNIMED
RAZAOSOCIAL,SAM_UNIMED
POLITICA,SAM_UNIMED
ENDERECO,SAM_UNIMED
PESSOA,SAM_UNIMED
HANDLE,SAM_POLITICA
DESCRICAO,SAM_POLITICA
HANDLE,SAM_CAMARACOMPENSACAO_PREST
UNIMED,SAM_CAMARACOMPENSACAO_PREST
CAMARACOMPENSACAO,SAM_CAMARACOMPENSACAO_PREST
HANDLE,SAM_CAMARACOMPENSACAO
DESCRICAO,SAM_CAMARACOMPENSACAO
TIPOCAMARA,SAM_CAMARACOMPENSACAO
HANDLE,SAM_BENEFICIARIO_MOD_REPASSE
BENEFICIARIOMOD,SAM_BENEFICIARIO_MOD_REPASSE
DATAINICIAL,SAM_BENEFICIARIO_MOD_REPASSE
DATAFINAL,SAM_BENEFICIARIO_MOD_REPASSE
HANDLE,SAM_BENEFICIARIO_MOD
BENEFICIARIO,SAM_BENEFICIARIO_MOD
HANDLE,SAM_BENEFICIARIO_HISTORICO
BENEFICIARIO,SAM_BENEFICIARIO_HISTORICO
ORIGEM,SAM_BENEFICIARIO_HISTORICO
DATAATIVACAO,SAM_BENEFICIARIO_HISTORICO
HANDLE,SAM_BENEFICIARIO_CID
BENEFICIARIO,SAM_BENEFICIARIO_CID
QTDCPT,SAM_BENEFICIARIO_CID
HANDLE,SAM_BENEFICIARIO_EVENTO
BENEFICIARIO,SAM_BENEFICIARIO_EVENTO
QTDCPT,SAM_BENEFICIARIO_EVENTO
HANDLE,SAM_BENEFICIARIO_PATOLOGIA
BENEFICIARIO,SAM_BENEFICIARIO_PATOLOGIA
QTDCPT,SAM_BENEFICIARIO_PATOLOGIA
HANDLE,Z_GRUPOUSUARIOS
NOME,Z_GRUPOUSUARIOS
HANDLE,SAM_BENEFICIARIO_CARTAOIDENTIF
BENEFICIARIO,SAM_BENEFICIARIO_CARTAOIDENTIF
DATAFINALVALIDADE,SAM_BENEFICIARIO_CARTAOIDENTIF
DATAGERACAO,SAM_BENEFICIARIO_CARTAOIDENTIF
DATAEMISSAO,SAM_BENEFICIARIO_CARTAOIDENTIF
TIPOCARTAO,SAM_BENEFICIARIO_CARTAOIDENTIF
DV,SAM_BENEFICIARIO_CARTAOIDENTIF
VIA,SAM_BENEFICIARIO_CARTAOIDENTIF
DATAINICIALVALIDADE,SAM_BENEFICIARIO_CARTAOIDENTIF
VALORFATURADO,SAM_BENEFICIARIO_CARTAOIDENTIF
FATURA,SAM_BENEFICIARIO_CARTAOIDENTIF
SITUACAO,SAM_BENEFICIARIO_CARTAOIDENTIF
SITUACAOATUALIZADADOS,SAM_BENEFICIARIO_CARTAOIDENTIF
HANDLE,SAM_CONTRATO_TIPOCARTAO
TIPOCARTAO,SAM_CONTRATO_TIPOCARTAO
HANDLE,SAM_TIPOCARTAO
DESCRICAO,SAM_TIPOCARTAO
HANDLE,SFN_FATURA
NUMERO,SFN_FATURA
HANDLE,SAM_ROTINACARTAO_CARTAO
CARTAOIDENTIFICACAO,SAM_ROTINACARTAO_CARTAO
ROTINACARTAO,SAM_ROTINACARTAO_CARTAO
HANDLE,SAM_ROTINACARTAO
DESCRICAO,SAM_ROTINACARTAO
HANDLE,SAM_CONTRATO_ORIGEMCARENCIA
ORIGEMCARENCIA,SAM_CONTRATO_ORIGEMCARENCIA
HANDLE,SAM_ORIGEMCARENCIA
DESCRICAO,SAM_ORIGEMCARENCIA
HANDLE,AWE_BIOMETRIA
TIPO,AWE_BIOMETRIA
OPERADORA,AWE_BIOMETRIA
CODIGO,AWE_BIOMETRIA
HANDLE,SAM_FAMILIA_ANOTADM
FAMILIA,SAM_FAMILIA_ANOTADM
ANOTACAO,SAM_FAMILIA_ANOTADM
DATA,SAM_FAMILIA_ANOTADM
OBSERVACAO,SAM_FAMILIA_ANOTADM
HANDLE,SAM_ANOTACAOADMINISTRATIVA
DESCRICAO,SAM_ANOTACAOADMINISTRATIVA
HANDLE,SIS_TIPOFATURAMENTO
DESCRICAO,SIS_TIPOFATURAMENTO
HANDLE,SAM_REPASSEINTER
TIPOFATURAMENTO,SAM_REPASSEINTER
UNIMEDDESTINO,SAM_REPASSEINTER
DATAINICIAL,SAM_REPASSEINTER
DATAFINAL,SAM_REPASSEINTER
CONTRATO,SAM_REPASSEINTER
BENEFICIARIO,SAM_BENEFICIARIO_TITULAR
TITULAR,SAM_BENEFICIARIO_TITULAR
EHTITULAR,SAM_BENEFICIARIO_TITULAR
